Field;Point;Latitude;Longitude;Phosphorus;Potassium;Nitrogen;Acidity;Humus;Calcium;Magnesium;Sulfur;Manganese;Zinc;Copper;Cobalt;Boron;Molybdenum
39;1;56,31829796;40,3018856;180;464;0;5,9;3;13;2;3;2;0,34;0,08;0,06;1,3;0,14
39;2;56,31791716;40,30626297;180;464;0;5,9;3;13;2;3;2;0,34;0,08;0,06;1,3;0,14
39;3;56,31772676;40,31132698;180;464;0;5,9;3;13;2;3;2;0,34;0,08;0,06;1,3;0,14
39;4;56,31772676;40,31467438;180;464;0;5,9;3;13;2;3;2;0,34;0,08;0,06;1,3;0,14
39;5;56,31772676;40,31845093;180;464;0;5,9;3;13;2;3;2;0,34;0,08;0,06;1,3;0,14
39;6;56,31782196;40,32171249;180;464;0;5,9;3;13;2;3;2;0,34;0,08;0,06;1,3;0,14
40;1;56,31986872;40,3018856;146;704,5;0;6,1;5;12,2;3,2;1,7;3,2;0,35;0,07;0,08;1,24;0,09
40;2;56,31991632;40,30574799;146;704,5;0;6,1;5;12,2;3,2;1,7;3,2;0,35;0,07;0,08;1,24;0,09
40;3;56,32005911;40,310812;146;704,5;0;6,1;5;12,2;3,2;1,7;3,2;0,35;0,07;0,08;1,24;0,09
40;4;56,32015431;40,31458855;146;704,5;0;6,1;5;12,2;3,2;1,7;3,2;0,35;0,07;0,08;1,24;0,09
40;5;56,3202971;40,3183651;146;704,5;0;6,1;5;12,2;3,2;1,7;3,2;0,35;0,07;0,08;1,24;0,09
40;6;56,3202971;40,32136917;146;704,5;0;6,1;5;12,2;3,2;1,7;3,2;0,35;0,07;0,08;1,24;0,09
